Date,Adj Close,Close,High,Low,Open,Volume
2004-01-01,58.01430892944336,88.0679702758789,88.35624694824219,87.234375,87.46875,11811200
2004-01-02,58.32770919799805,88.54374694824219,89.21875,87.75,88.28125,17143168
2004-01-05,60.59111022949219,91.97969055175781,92.890625,88.75,89.84375,24806720
2004-01-06,58.51505661010742,88.828125,93.90625,88.0054702758789,92.96875,24549504
2004-01-07,58.599449157714844,88.95625305175781,90.578125,87.39453125,89.8125,38803008
2004-01-08,60.193817138671875,91.3765640258789,92.09687805175781,89.39453125,89.39453125,37550336
2004-01-09,59.91078186035156,90.9468765258789,95.3125,90.171875,93.75,48744256
2004-01-12,58.8768310546875,89.3773422241211,92.171875,88.78125,92.171875,22238464
2004-01-13,59.632877349853516,90.5250015258789,90.765625,88.8296890258789,90.15625,22870912
2004-01-14,58.72605514526367,89.1484375,90.71484375,88.75,90.53125,22004800
2004-01-15,57.24338912963867,86.89765930175781,89.984375,86.328125,89.08203125,34165760
2004-01-16,56.856876373291016,86.3109359741211,86.8734359741211,85.5054702758789,86.71875,26454976
2004-01-19,56.63763427734375,85.9781265258789,86.484375,84.15625,86.484375,30427712
2004-01-20,55.690162658691406,84.53984069824219,87.8125,84.0,86.328125,23610944
2004-01-21,55.540428161621094,84.3125,86.71875,83.359375,84.765625,29010368
2004-01-22,53.2574348449707,80.84687805175781,86.640625,78.9585952758789,84.375,51104832
2004-01-23,56.21201705932617,85.33203125,86.046875,81.25,81.6460952758789,36731904
2004-01-26,56.21201705932617,85.33203125,85.33203125,85.33203125,85.33203125,0
2004-01-27,57.24338912963867,86.89765930175781,87.8125,78.421875,84.375,28154944
2004-01-28,55.761199951171875,84.64765930175781,86.7874984741211,83.4375,86.015625,24251072
2004-01-29,54.069549560546875,82.0796890258789,84.3101577758789,81.25859069824219,83.59375,37042880
2004-01-30,53.65473556518555,81.44999694824219,84.19999694824219,80.8671875,84.19999694824219,25131136
2004-02-02,53.65473556518555,81.44999694824219,81.44999694824219,81.44999694824219,81.44999694824219,0
2004-02-03,53.499332427978516,81.21406555175781,82.1875,80.05390930175781,81.875,37488448
2004-02-04,55.168827056884766,83.7484359741211,84.2015609741211,81.2710952758789,81.2710952758789,25612352
2004-02-05,55.98762130737305,84.99140930175781,86.625,82.8125,84.0625,47011712
2004-02-06,57.2135124206543,86.85234069824219,87.265625,84.39453125,84.55155944824219,37574016
2004-02-09,58.15945053100586,88.28828430175781,89.21875,87.19609069824219,87.484375,32914240
2004-02-10,56.69269943237305,86.06172180175781,88.984375,85.7828140258789,88.28125,30173888
2004-02-11,56.31647872924805,85.4906234741211,87.078125,85.078125,86.71875,24955968
2004-02-12,55.09934616088867,83.6429672241211,86.15625,83.046875,85.9375,59246720
2004-02-13,55.33662796020508,84.00312805175781,84.828125,83.203125,83.875,40205760
2004-02-16,55.12868881225586,83.6875,84.953125,83.4710922241211,84.39921569824219,27349376
